Step,AgentID,EV_sat,Pop,EVs,total_daily_use,pop_daily_use,ev_daily_use
0,0,0.013,12533.0,167,10224.343362612002,10057.732500000002,166.610862612
0,1,0.036,20892.0,746,17510.091697656,16765.83,744.261697656
0,2,0.012,18349.0,227,14951.543552772002,14725.0725,226.47105277199998
0,3,0.02,32401.0,634,26634.325176024002,26001.8025,632.5226760239999
0,4,0.022,15907.0,347,13111.558933092001,12765.3675,346.191433092
0,5,0.007,15735.0,106,12733.090502616,12627.337500000001,105.753002616
0,6,0.01,11837.0,116,9614.922200976001,9499.192500000001,115.729700976
0,7,0.02,20117.0,411,16553.934802596003,16143.892500000002,410.042302596
0,8,0.007,15345.0,107,12421.113172452,12314.3625,106.750672452
0,9,0.015,18912.0,288,15464.208912768003,15176.880000000001,287.32891276800007
0,10,0.014,14487.0,203,11828.344476708,11625.817500000001,202.526976708
0,11,0.032,23456.0,759,19580.671405524,18823.440000000002,757.231405524
0,12,0.032,31976.0,1036,26694.325950096005,25660.74,1033.585950096
0,13,0.037,12334.0,453,10349.979435708,9898.035000000002,451.944435708
0,14,0.012,20432.0,236,16632.130081296003,16396.68,235.45008129599998
0,15,0.019,17860.0,340,14671.85774424,14332.650000000001,339.20774424
0,16,0.009,18081.0,155,14664.641324580001,14510.002500000002,154.63882458
0,17,0.032,14746.0,465,12297.58147374,11833.665000000003,463.91647374
0,18,0.008,14029.0,110,11368.01618196,11258.272500000001,109.74368196
0,19,0.029,27148.0,779,22563.454802244003,21786.27,777.184802244
0,20,0.014,33502.0,479,27363.238851444003,26885.355000000003,477.883851444
0,21,0.011,8947.0,95,7274.746134420001,7179.9675,94.77863441999999
0,22,0.03,55787.0,1665,46430.18777694,44769.067500000005,1661.12027694
0,23,0.02,33547.0,658,27577.934252088,26921.467500000002,656.466752088
0,24,0.003,13538.0,36,10900.161114096001,10864.245,35.91611409600001
0,25,0.028,21732.0,618,18056.489958648002,17439.93,616.5599586479999
0,26,0.017,45741.0,767,37472.36526421201,36707.152500000004,765.212764212
0,27,0.012,21896.0,253,17823.950468508,17571.54,252.410468508
0,28,0.009,31565.0,272,25602.278695392004,25330.9125,271.366195392
0,29,0.017,20544.0,354,16839.735121944002,16486.56,353.175121944
0,30,0.017,19629.0,330,16081.503545880001,15752.272500000001,329.23104588
0,31,0.017,23696.0,409,19424.086962924,19016.04,408.04696292399996
0,32,0.025,41621.0,1028,34426.457091408,33400.8525,1025.604591408
0,33,0.02,33840.0,693,27847.985196348003,27156.600000000002,691.385196348
0,34,0.02,21080.0,422,17337.716670791997,16916.699999999997,421.01667079199996
0,35,0.031,42733.0,1346,35636.09609925601,34293.23250000001,1342.863599256
0,36,0.023,24389.0,557,20127.874598652,19572.1725,555.702098652
0,37,0.022,8121.0,182,6698.678410152001,6517.102500000001,181.575910152
0,38,0.025,12592.0,309,10413.359979324001,10105.080000000002,308.27997932399995
0,39,0.022,15959.0,352,13158.277282272002,12807.097500000002,351.179782272
0,40,0.023,36690.0,856,30297.730379616005,29443.725,854.005379616
