,poi_x,poi_y,poi_name,poi_area,place_name
0,-8863682.730770508,4374475.13315015,Mississaugua Golf & Country Club,1000869.8059386968,Mississauga
1,-8856091.94407274,4377786.390361795,Toronto Golf Course,826703.1237788611,Mississauga
2,-8871708.887031758,4378253.107312832,Braeben Golf Course,817240.0880296736,Mississauga
3,-8865632.081479166,4374220.365389451,Credit Valley Golf & Country Club,700803.106583374,Mississauga
4,-8869359.089360509,4375446.99324974,Riverwood,622007.2165445518,Mississauga
5,-8858647.27716325,4380730.629386031,Markland Wood Golf Club,475965.0465649099,Mississauga
6,-8869332.431988658,4375509.754874129,,444040.2971451662,Mississauga
7,-8856650.983026013,4377405.193660426,Lakeview Golf Course,438141.22717173904,Mississauga
8,-8873858.665540071,4378894.191095863,Credit Meadows Park,433242.3707887316,Mississauga
9,-8868266.184726158,4384071.069679618,Edward Scarlett Park,387744.5940982508,Mississauga
10,-8861636.48898476,4372458.499941024,Jack Darling Memorial Park,361523.2472658438,Mississauga
11,-8866048.741860133,4372840.12481072,Springbank Meadows Park,358295.4181198836,Mississauga
12,-8855070.692407869,4376555.505923448,Lakeview Wastewater Treatment Plant,335188.456701309,Mississauga
13,-8863155.505230509,4369980.253830598,Clarkson Wastewater Treament Plant,332408.20002121,Mississauga
14,-8867147.427242987,4374171.664830328,Erindale Park,312994.2241740443,Mississauga
15,-8858513.346539805,4376776.017673678,Cawthra Park,310850.5383606211,Mississauga
16,-8864250.903494548,4387179.730305652,Paul Coffey Park,306333.62760818435,Mississauga
17,-8865896.821460914,4380273.562023616,Parkway Belt Park,282486.79105834535,Mississauga
18,-8861525.60959669,4379651.8396491,Applewood Park,280129.56015949335,Mississauga
19,-8869919.695196552,4383678.277621689,Assumption Catholic Cemetery and Crematorium,277034.81463150436,Mississauga
20,-8854788.058682004,4377194.779596643,Marie Curtis Park,261033.49733504798,Mississauga
21,-8863876.138929827,4377977.294368697,Mississauga Valley Park,242126.3425478113,Mississauga
22,-8870769.92955542,4375730.325356603,Hewick Meadows Park,225415.6314669147,Mississauga
23,-8856422.803172285,4375639.207531645,Lakefront Promenade Park,216517.5795982328,Mississauga
24,-8864654.385768149,4375033.091014482,Huron Park,210970.47983634286,Mississauga
25,-8873666.568338485,4375601.755353751,Erin Woods Park,186758.05176898016,Mississauga
26,-8873676.197861638,4381820.250257328,Derrydale Golf Course,186646.82821460167,Mississauga
27,-8875516.87883494,4373703.907982255,Marco Muzzo Senior Memorial Woods and Park,181257.98090049974,Mississauga
28,-8878094.718337992,4377335.683873505,Lake Aquitaine Park,173012.8051965892,Mississauga
29,-8863505.135127662,4372014.104255017,Birchwood Park,165484.62419769802,Mississauga
30,-8869429.823463274,4382179.261448019,Danville Park,157702.80454828055,Mississauga
31,-8864933.890253777,4389315.896012111,Indian Line Campground,156095.4133274476,Mississauga
32,-8872185.348467978,4372546.498491398,Tom Chater Memorial Park,148075.53282584713,Mississauga
33,-8859940.03659829,4381316.177757043,Garnetwood Park,136870.54556606017,Mississauga
34,-8872527.124390744,4375059.606362883,Credit Valley Hospital,132306.0212046777,Mississauga
35,-8864963.962778488,4376699.9026086535,Dr. Martin L. Dobkin Park,132082.83328762016,Mississauga
36,-8880510.578097548,4375967.63349717,Lisgar Fields,130966.74522004297,Mississauga
37,-8867555.099673804,4381186.053096187,Hershey Centre Sportszone North,129379.80968825382,Mississauga
38,-8865814.503847517,4377754.288238524,Square One,128242.11778002474,Mississauga
39,-8872966.379333708,4376725.522849958,Streetsville Memorial Park,116744.78192805353,Mississauga
40,-8877382.141493915,4374887.662852736,Churchill Meadows Community Common,108326.18956100741,Mississauga
41,-8865299.227635799,4387165.009618012,Derry Greenway,107036.84889990313,Mississauga
42,-8864179.197789287,4376209.961570452,Brickyard Park,106944.60777279601,Mississauga
43,-8859581.585257884,4381099.382130751,Fleetwood Park,105894.07288635815,Mississauga
44,-8862628.546164503,4369790.012455633,Lakeside Park,104597.87562153833,Mississauga
45,-8876646.271035051,4376735.249868067,Lake Wabukayne Park,99941.37341661079,Mississauga
46,-8875306.0357452,4375268.11913071,Sugar Maple Woods,95185.16897667751,Mississauga
47,-8878992.114415824,4378900.274362579,Meadowvale Sports Park,93520.3372609468,Mississauga
48,-8866245.847190278,4375319.581635771,The Woodlands Secondary School,92282.11327472301,Mississauga
49,-8859258.64274741,4379556.0872104885,Willowcreek Park,91669.43474245328,Mississauga
50,-8864278.547763027,4372621.889224723,Whiteoaks Park,91421.82264740278,Mississauga
51,-8883799.357068479,4377523.423272293,Ninth Line Family Golf,87546.4652640148,Mississauga
52,-8876538.059446413,4374575.010954055,O'Connor Park,86968.30125854042,Mississauga
53,-8868506.462974075,4373435.503705509,Erindale Secondary School,85624.64907451985,Mississauga
54,-8874116.289769752,4374761.237848338,St. Aloysius Gonzaga Secondary School,85463.30998774712,Mississauga
55,-8866298.570068218,4370340.661457687,Clarkson Park,84507.37928181115,Mississauga
56,-8861947.044466404,4376038.778695648,Mississauga Hospital,82406.85026184056,Mississauga
57,-8869709.092775522,4384761.025251143,King Park,82405.16807814084,Mississauga
58,-8873433.66496046,4377552.501883848,River Grove Park,79925.09614395161,Mississauga
59,-8861833.879529415,4378841.613580827,Bloor Athletic Field,79663.14528171468,Mississauga
60,-8861368.11760982,4376335.431561934,Camilla Park,79553.17072781174,Mississauga
61,-8864939.512998408,4372101.057666747,Springcreek Cemetery,78598.28402637417,Mississauga
62,-8861066.899889475,4373180.665991812,Richard's Memorial Park,77011.02224598257,Mississauga
63,-8877316.6431076,4377259.155937204,West Credit Secondary School,76498.53268123213,Mississauga
64,-8869860.738766259,4379710.390789013,Saigon Park,75664.76940814656,Mississauga
65,-8865059.43274552,4379832.5091240695,Andy Bathgate Golf Driving Range,74901.50441228753,Mississauga
66,-8862752.838911338,4379949.178605342,Rathwood District Park,74373.82115408692,Mississauga
67,-8870218.14236387,4377434.707757116,Rick Hansen Secondary School,74092.33657140342,Mississauga
68,-8862686.022698607,4377328.104693682,Richard Jones Park,73657.4649425124,Mississauga
69,-8858082.304110752,4376463.385673603,Cawthra Park Secondary School,73078.55513331726,Mississauga
70,-8865541.193126086,4388385.880599237,Lincoln M. Alexander Secondary School,72436.71545267683,Mississauga
71,-8866873.481748572,4380370.689458524,Britannia Woods Community Forest,71494.55338777814,Mississauga
72,-8870834.019641569,4373558.71815492,South Common Park,71315.22034497037,Mississauga
73,-8859204.672725843,4374017.317667045,J.C. Saddington Park,70890.09204700374,Mississauga
74,-8856096.69496878,4376249.9798266245,Lakeview Park,69673.654971535,Mississauga
75,-8860131.403781077,4380577.190680217,Glenforest Secondary School,69215.96915135965,Mississauga
