,poi_x,poi_y,poi_name,poi_area,place_name
0,-82.40116280200252,43.001741656498034,Canatara Park,670703.0675366896,Point Edward
1,-82.39878768297484,42.993998454501586,,303798.1266003569,Point Edward
2,-82.41778264032344,42.9964299734104,Waterfont Park,258192.58054235854,Point Edward
3,-82.39362230279241,42.994594816279665,Sarnia Golf and Curling,229637.49876464906,Point Edward
4,-82.40615087065581,42.983100659766095,Centennial Park,152689.38450671505,Point Edward
5,-82.41294115996145,42.98946702137874,Holiday Inn Golf Course,78772.78088692052,Point Edward
6,-82.4095531010192,42.996132509640134,Bridgeview Public School,19423.000204428336,Point Edward
7,-82.40424552855175,42.99706786532403,McCrae Park,9788.409039921813,Point Edward
8,-82.42203838558885,42.997749627298454,Amerindians Sculpture Park,6491.521782404241,Point Edward
9,-82.4143976640621,42.995911991351136,Point Edward Arena,4072.3102059352527,Point Edward
10,-82.39786523580985,42.98949524160423,Quality Inn,2702.6255095639467,Point Edward
11,-82.39964953786884,42.98848263863813,Comfort Inn,1626.3529393943058,Point Edward
12,-82.41981049098031,42.999376780174444,Waterfront Park Playground,576.6989690137406,Point Edward
13,-82.41799852028878,42.9977622277019,Albert's,140.25101190262052,Point Edward
14,-82.41238236666666,42.995509327829666,Hillier Park,57.345053456557025,Point Edward
