,x,y,x_km,y_km,Station_Name,City
0,-79.392397,43.668764,-8838.041026437,4847.232804,Toronto Urban Properties,Toronto
1,-79.382722,43.669066,-8836.963995762,4847.266326,Town Inn & Suites,Toronto
2,-79.365472,43.643949,-8835.043708512,4844.478339,George Brown College,Toronto
3,-79.382987,43.647695,-8836.993495827,4844.894145,ImPark - Standard Life Centre,Toronto
4,-79.2875757,43.7478868,-8826.372214499701,4856.015434800001,Scotiabank,Toronto
5,-79.6126626,43.7402445,-8862.561213294599,4855.1671395,HUMBER,Toronto
6,-79.3811825,43.6724537,-8836.7926170825,4847.6423607,MANULIFE,Toronto
7,-79.534487,43.618926,-8853.858627327,4841.700786,IKEA,Toronto
8,-79.383897,43.651911,-8837.094797937001,4845.362121,Nathan Phillips Square,Toronto
9,-79.317741403856,43.7418688550142,-8829.730290818654,4855.347442906575,Egate Communications,Toronto
10,-79.378115,43.648998,-8836.451139915,4845.038778,One King West Hotel & Residence,Toronto
11,-79.380222,43.656586,-8836.685693262,4845.8810459999995,Toronto Parking Authority - Yonge Dundas Square,Toronto
12,-79.380338,43.64988,-8836.698606498,4845.1366800000005,The St. Regis Toronto,Toronto
13,-79.387024,43.645488,-8837.442898704,4844.649168,The Ritz-Carlton,Toronto
14,-79.283638,43.72815,-8825.933865797999,4853.82465,Donway Ford,Toronto
15,-79.378414,43.647488,-8836.484424894,4844.871168000001,Brookfield Place,Toronto
16,-79.360063,43.652671,-8834.441573222999,4845.446481,Volvo of Toronto,Toronto
17,-79.383202,43.650016,-8837.017429841999,4845.151776,Richmond Adelaide Centre,Toronto
18,-79.383925,43.647466,-8837.097914925,4844.868726000001,ImPark,Toronto
20,-79.387013,43.644355,-8837.441674173,4844.523405,Metro Toronto Convention Centre,Toronto
21,-79.382676,43.638965,-8836.958874996,4843.925115,Harbourfront Centre,Toronto
22,-79.404192,43.744452,-8839.354057632,4855.634172,York Mills Centre,Toronto
23,-79.378115,43.648998,-8836.451139915,4845.038778,One King West Hotel & Residence - Tesla Destination,Toronto
24,-79.393699,43.670857,-8838.185966379,4847.4651269999995,The Hazelton Hotel - Tesla Destination,Toronto
25,-79.386174,43.649103,-8837.348275854,4845.050432999999,Shangri-La Hotel Toronto - Tesla Destination,Toronto
26,-79.386032,43.638857,-8837.332468272,4843.913127,Radisson Admiral Hotel Toronto- Harbourfront - Tesla Destination,Toronto
27,-79.376884,43.650946,-8836.314103764,4845.255005999999,State Street Financial Centre - Tesla Destination,Toronto
28,-79.391032,43.645797,-8837.889073272,4844.683467,Hotel Le Germain - Toronto - Tesla Destination,Toronto
29,-79.380338,43.64988,-8836.698606498,4845.1366800000005,TRUMP Toronto International Hotel and Tower - Tesla Destination,Toronto
