,x,y,x_km,y_km,Station_Name,City
0,-79.083133,43.086763,-8803.613448693,4782.630693,Old Stone Inn Boutique Hotel,Niagara Falls
1,-79.431046,43.842636,-8842.343471765998,4866.532596,FLO - Canadian Tire - Richmond Hill,Richmond Hill
2,-79.070884,43.252929,-8802.249877764001,4801.075119,BranCliff Inn c.1859 - Tesla Destination,Niagara on the Lake
3,-79.838195,43.506226,-8887.667705595,4829.191086,Tim Horton's,Milton
4,-75.706929,45.417264,-8427.771043209,5041.316304,Albert at the Bay,Ottawa
5,-79.730415,43.368081,-8875.669528215,4813.856991,Scotiabank,Burlington
6,-79.136714,45.335467,-8809.578139194,5032.236837,Algonquin Moon Bed & Breakfast,Huntsville
7,-79.386041,43.133157,-8837.333470161,4787.780427,Balls Falls Centre for Conservation,Lincoln
9,-79.392397,43.668764,-8838.041026437,4847.232804,Toronto Urban Properties,Toronto
11,-79.163015,43.160806,-8812.505992815,4790.849466,Hilton Garden Inn Niagara on the Lake - Tesla Destination,Niagara on the Lake
12,-79.070166,43.842204,-8802.169949286,4866.484644,FLO - Canadian Tire - Pickering,Pickering
13,-79.06842,43.253264,-8801.97558282,4801.112304,Shaw Club Hotel & Spa - Tesla Destination,Niagara-on-the-Lake
14,-79.528988,43.62102,-8853.246473148,4841.93322,Sherway Nissan,Etobicoke
15,-79.493709,43.159694,-8849.319179589,4790.726034,Hidden Bench Estate Winery,Lincoln
16,-77.396476,44.189215,-8615.853104796,4905.0028649999995,Best Western - Belleville,Belleville
17,-79.382722,43.669066,-8836.963995762,4847.266326,Town Inn & Suites,Toronto
18,-79.101054,43.088776,-8805.608432334,4782.854136,Best Western - Cairn Croft,Niagara Falls
19,-79.682941,43.458137,-8870.384675061,4823.853207,Oak-Land Ford Lincoln,Oakville
20,-79.073474,43.091456,-8802.538199154,4783.151616,Travelodge at the Falls,Niagara Falls
21,-79.435513,46.266569,-8842.840742673,5135.589159,Best Western - North Bay,North Bay
22,-78.303055,44.290061,-8716.774385655,4916.196771,Best Western - Otonabee Inn,Peterborough
23,-77.116359,45.79871,-8584.670200239,5083.65681,Best Western Pembroke Inn,Pembroke
24,-76.522762,44.246733,-8518.590388602,4911.387363,Best Western Kingston - Fireside,Kingston
25,-75.732949,45.385821,-8430.667615629,5037.826131,Best Western Plus - City Centre,Ottawa
26,-79.422767,44.589674,-8841.421845207,4949.453814,Best Western Plus - Mariposa Inn,Orillia
27,-79.163083,43.160618,-8812.513562643,4790.828598,Hilton Garden Inn,Niagara-On-The-Lake
28,-79.33739,43.857081,-8831.91759219,4868.135991,Markham Civic Centre,Markham
29,-79.685311,43.457804,-8870.648505830999,4823.816244000001,Holiday Inn Oakville (Centre) - Tesla Destination,Oakville
30,-79.830205,43.25193,-8886.778250805,4800.9642300000005,Tim Horton's Field,Hamilton
31,-79.907297,43.525871,-8895.360209337,4831.3716810000005,Best Western Plus - Milton,Milton
32,-79.724262,43.705877,-8874.984570101999,4851.352347,City of Brampton - Civic Centre,Brampton
33,-79.216334,43.174539,-8818.441517214,4792.373829,Canadian Tire,St. Catharines
34,-75.722363,45.320851,-8429.489171523,5030.614461,Diffraction Limited,Ottawa
35,-79.562164,43.194314,-8856.939658644,4794.568854,Fisher Stevenson & Boehm Insurance,Grimsby
36,-79.365472,43.643949,-8835.043708512,4844.478339,George Brown College,Toronto
37,-79.07088,43.115782,-8802.24943248,4785.851802,Great Wolf Lodge,Niagara Falls
38,-79.064583,43.255276,-8801.548444143,4801.335636,Harbour House Hotel,Niagara-On-The-Lake
40,-79.828969,43.328164,-8886.640658049,4809.426204,IKEA,Burlington
41,-79.484811,44.068707,-8848.328645331,4891.626477000001,Newroads Chevrolet Cadillac Buick GMC,Newmarket
42,-79.739188,43.88003,-8876.646147348,4870.68333,Four Corners Bakery,Bolton
43,-79.471971,44.003984,-8846.899283691,4884.442224,Aurora Community Centre,Aurora
44,-75.820758,45.326468,-8440.442601318,5031.237948,Best Western Plus - Ottawa Kanata,Ottawa
45,-75.691042,45.412964,-8426.002486481999,5040.839004,Best Western Plus - Victoria Park Suites,Ottawa
46,-79.249205,43.177755,-8822.100749805,4792.730805,Best Western - St. Catharines Hotel & Conference Centre,St. Catharines
47,-79.708125,44.380421,-8873.188183125,4926.226731,Best Western - The Royal Oak Inn,Barrie
48,-79.447177,44.608581,-8844.139190816999,4951.552491,Jim Wilson Chevrolet Buick GMC,Orillia
49,-79.703147,47.490395,-8872.634027187,5271.433845,Junction Gas Bar & Restaurant,Englehart
50,-75.653418,45.02272,-8421.814145178,4997.52192,Kemptville Bowling Lanes,Kemptville
51,-75.290267,45.270952,-8381.387812707,5025.075672,La Boulangerie du Village Bakery,Embrun
52,-79.055564,43.16418,-8800.544440044001,4791.22398,Laura Secord Homestead,Queenston
53,-75.0793477460327,45.3059271479012,-8357.908070436106,5028.9579134170335,Microtel Inn & Suites,Casselman
54,-78.9232708,42.8938929,-8785.8174287268,4761.2221119,Old Fort Erie,Fort Erie
55,-79.456853,44.002193,-8845.216332813,4884.243423,Aurora Destination,Aurora
56,-79.432768,44.078672,-8842.535166528,4892.732591999999,Mr. Janitorial Supplies,Newmarket
57,-76.570333,44.280454,-8523.886039893001,4915.130394,Petro-Canada EV Fast Charger,Kingston
60,-79.759173,43.238827,-8878.870897533001,4799.509797,Queenston Chevrolet,Hamilton
61,-79.061054,43.217373,-8801.155592334,4797.128403000001,Reif Estate Winery,Niagara-On-The-Lake
62,-79.734626,43.383012,-8876.138300946,4815.514332,Salt Spring Studios,Oakville
63,-79.248201,43.015427,-8821.988983521,4774.712397,Seaway Mall,Welland
64,-79.0773213743439,43.0693673204483,-8802.966492713336,4780.699772569761,Niagara Parks Commission,Niagara
65,-79.068089,43.253339,-8801.938735569,4801.120629,Shaw Club Hotel & Spa,Niagara-On-The-Lake
66,-75.695287,44.607186,-8426.475044126999,4951.397645999999,St. Lawrence College,Brockville
67,-79.096959,43.241395,-8805.152572838999,4799.794844999999,Stratus Vineyards,Niagara-On-The-Lake
68,-79.07088,43.106472,-8802.24943248,4784.818391999999,Taps on Queen Brewhouse & Grill,Niagara Falls
69,-79.85768,45.297407,-8889.83679528,5028.012177,Terrawoods Resort on Muskoka Shores,Parry Sound
70,-79.07721,43.258242,-8802.954094409999,4801.6648620000005,The Charles Inn,Niagara-On-The-Lake
71,-77.288534,44.0126,-8603.836893414,4885.3985999999995,The Inn at Huff Estates,Bloomfield
72,-75.502822,45.452673,-8405.049647861999,5045.246703,Orleans Kia,Ottawa
73,-79.382987,43.647695,-8836.993495827,4844.894145,ImPark - Standard Life Centre,Toronto
75,-79.343628,43.81346,-8832.612012587999,4863.29406,ImPark - Steeles Technology Campus,North York
76,-79.804098,44.019849,-8883.871993457999,4886.203239,Tottenham Mall - Vnce's Market,Tottenham
77,-79.438416,46.308712,-8843.163907536,5140.267032,True North Chevrolet Cadillac,North Bay
80,-75.912767,45.34076,-8450.685135207,5032.8243600000005,KRP Properties,Kanata
81,-79.463929,44.214634,-8846.004040209,4907.824374,Glenwoods Centre,South Keswick
85,-79.310815,43.852599,-8828.959236615001,4867.638489,YMCA,Markham
88,-79.560257,43.647906,-8856.727369496999,4844.917566,ImPark - Burnhamthorpe Square,Mississauga
89,-79.6694687,43.4757938,-8868.884925152699,4825.8131118,Oakville Assembly (QR 2000169),Oakville
