,poi_x,poi_y,poi_x_km,poi_y_km,poi_name,poi_area,place_name
0,-79.90394836845944,44.157446967701055,-8894.987436325273,4901.476613414817,Earl Rowe Provincial Park,3119830.2570549687,Simcoe County
1,-79.69635266590618,44.08605448760133,-8871.87767512134,4893.552048123748,The Club at Bond Head,2043489.2179756132,Simcoe County
2,-79.83545365176886,44.023233425250986,-8887.362535968561,4886.578910202859,Woodington Lake Golf Club,1786175.9659212115,Simcoe County
3,-79.44940533647461,44.62974828476611,-8844.38725146169,4953.902059609038,Hawk Ridge Golf & Country Club,1479619.8267324104,Simcoe County
4,-79.33049256785951,44.57008595799264,-8831.149763146688,4947.279541337183,McRae Point Provincial Park,1369444.9085846273,Simcoe County
5,-79.87675266903359,44.29678881045064,-8891.959983869488,4916.943557960021,,1291306.1243596869,Simcoe County
6,-79.75660181963823,44.322940720814785,-8878.584671163948,4919.846420010441,Tangle Creek Golf & Country Club,742359.9381282574,Simcoe County
7,-79.92918273199713,44.74431483170473,-8897.796550908652,4966.618946319225,Midland Golf & Country Club,733435.538573969,Simcoe County
8,-79.81499678543047,44.32969146903557,-8885.085257150904,4920.5957530629485,Bear Creek,716840.3551198732,Simcoe County
9,-79.65323429354264,44.322925867796506,-8867.07769479146,4919.844771325412,National Pines Golf Club,706862.7034663543,Simcoe County
10,-79.55000429980635,44.383909717483,-8855.586028658741,4926.613978640613,The Nest Golf Club,696742.3196564252,Simcoe County
11,-79.89150870882197,44.71261247014685,-8893.60264097477,4963.0999841863,Brooklea Golf & Country Club,670641.8548064774,Simcoe County
12,-79.69429497949633,44.426110968774424,-8871.648611412511,4931.298317533961,Barrie Golf & Country Club,628955.9173153258,Simcoe County
13,-79.6423781222439,44.691117659831974,-8865.869174946312,4960.714060241349,Bonaire Golf Club,598402.3394589226,Simcoe County
14,-79.48403346492654,44.60252754596105,-8848.242089349087,4950.880557601677,Bass Lake Campground,558863.9986849874,Simcoe County
15,-79.35988358207503,44.587255961945424,-8834.421600240174,4949.185411775942,Mara Provincial Park,455770.1344164403,Simcoe County
16,-79.90421442785927,44.275763378813444,-8895.017054323722,4914.609735048292,CFB Borden Golf Club,415055.3007028237,Simcoe County
17,-79.92809563987744,44.802355856220274,-8897.675534726797,4973.0615000404505,Waypoint Centre for Mental Health Care,412610.76361944096,Simcoe County
18,-79.80967951565654,44.01723298595522,-8884.493333362401,4885.912861441029,Tottenham Conservation Area,411814.50232828356,Simcoe County
19,-79.69873654605743,44.54393625399264,-8872.143051043658,4944.376924193183,Settlers' Ghost Golf Club,374877.60785917926,Simcoe County
20,-79.9050055299816,44.1617737336936,-8895.10512060308,4901.95688443999,Earl Rowe Provincial Park - West Side Campground,373775.12981004576,Simcoe County
21,-79.8848432997382,44.742036684351554,-8892.860640970155,4966.3660719630225,Little Lake Park,357431.59192025574,Simcoe County
22,-79.65534885717892,44.209783555240634,-8867.313090130014,4907.28597463171,Innisfill Creek Golf Club,346307.3914380199,Simcoe County
23,-79.64660795772491,44.69653427115964,-8866.340044461895,4961.31530409872,Golf Bonaire,319804.0908357801,Simcoe County
24,-79.98689767144802,44.52562942844858,-8904.221435683265,4942.344866557793,Maple Park Family Campground,290040.25543625274,Simcoe County
25,-79.53509695523135,44.31982994515579,-8853.92652815331,4919.501123912292,Innisfil Beach Bark,283465.7805457655,Simcoe County
26,-79.89146916533235,44.154067124073876,-8893.598238953962,4901.1014507722,Earl Rowe Provincial Park - Riverside Campground,282598.4144845602,Simcoe County
27,-79.8115848535599,44.090031263144645,-8884.705437483142,4893.993470209056,Ponderosa Golf and Country Club,254712.48926069707,Simcoe County
28,-79.79623308676003,44.16271950575531,-8882.996463451213,4902.0618651388395,Nottawasaga Inn Resort,235421.72405192375,Simcoe County
29,-79.92323876162088,44.79733788632257,-8897.134862182398,4972.504505381806,Central North Correctional Centre,219541.20198832988,Simcoe County
30,-79.6344548498283,44.10202850471108,-8864.987148337736,4895.32516402293,Jellystone Park Camp-Resort,215512.8426830199,Simcoe County
31,-79.65020317857993,44.421732714238495,-8866.740268042697,4930.812331280473,Landings of Willow Creek golf Course,209720.63134323197,Simcoe County
32,-79.53261356813168,44.29663780061354,-8853.650075017986,4916.926795868103,Big Cedar Golf & Country Club,198489.01670704523,Simcoe County
33,-79.95416946508557,44.27017226607928,-8900.57809902279,4913.9891215348,Range,197861.80581400075,Simcoe County
34,-79.94040360597728,44.76879751063044,-8899.045669820996,4969.336523679979,Penetanguishene Rotary Park,153855.28299744986,Simcoe County
